/bl X,/bl Y,/blb X,/blb Y,/q X,/q Y,/qb X,/qb Y,/w X,/w Y
0,1.2,0,1.2,0,6.661971448333433e-08,0,1.199999950883855,0,0
6.550628150541493e-12,1.2,6.550628150541493e-12,1.2,6.550628150541493e-12,0.004455424512486914,6.550628150541493e-12,1.202748320816687,6.550628150541493e-12,0.07860753780649792
1.259854689808174e-11,1.2,1.259854689808174e-11,1.2,1.259854689808174e-11,0.007226036365464078,1.259854689808174e-11,1.203266144575974,1.259854689808174e-11,0.1511825627769808
2.469438439316223e-11,1.2,2.469438439316223e-11,1.2,2.469438439316223e-11,0.01854626898496039,2.469438439316223e-11,1.204341920260463,2.469438439316223e-11,0.2963326127179467
3.59065822170517e-11,1.2,3.59065822170517e-11,1.2,3.59065822170517e-11,0.04039465885237748,3.59065822170517e-11,1.205520273426901,3.59065822170517e-11,0.4308789866046204
5.288435333845274e-11,1.2,5.288435333845274e-11,1.2,5.288435333845274e-11,0.0925484851540271,5.288435333845274e-11,1.206993796247417,5.288435333845274e-11,0.6346122400614328
7.644217666922638e-11,1.2,7.644217666922638e-11,1.2,7.644217666922638e-11,0.1897021971222169,7.644217666922638e-11,1.207306385021468,7.644217666922638e-11,0.9173061200307164
8.822108833461318e-11,1.2,8.822108833461318e-11,1.2,8.822108833461318e-11,0.2485051415537354,8.822108833461318e-11,1.206597784976849,8.822108833461318e-11,1.058653060015358
1e-10,1.2,1e-10,1.2,1e-10,0.3183871079176184,1e-10,1.204406704663324,1e-10,1.2
1.023903193670887e-10,1.2,1.023903193670887e-10,1.2,1.023903193670887e-10,0.3250306021165623,1.023903193670887e-10,1.19963821187708,1.023903193670887e-10,1.2
1.068537878538934e-10,1.2,1.068537878538934e-10,1.2,1.068537878538934e-10,0.3343935411457942,1.068537878538934e-10,1.193308094680123,1.068537878538934e-10,1.2
1.108507402315072e-10,1.2,1.108507402315072e-10,1.2,1.108507402315072e-10,0.3387087722174157,1.108507402315072e-10,1.190713617889638,1.108507402315072e-10,1.2
1.188446449867347e-10,1.2,1.188446449867347e-10,1.2,1.188446449867347e-10,0.3423410705730495,1.188446449867347e-10,1.188460761315576,1.188446449867347e-10,1.2
1.276566852170602e-10,1.2,1.276566852170602e-10,1.2,1.276566852170602e-10,0.3433349011897048,1.276566852170602e-10,1.187822733270094,1.276566852170602e-10,1.2
1.400172878570599e-10,1.2,1.400172878570599e-10,1.2,1.400172878570599e-10,0.3436032826516636,1.400172878570599e-10,1.187667846133352,1.400172878570599e-10,1.2
1.573792782500476e-10,1.2,1.573792782500476e-10,1.2,1.573792782500476e-10,0.3436331421687867,1.573792782500476e-10,1.187640275184348,1.573792782500476e-10,1.2
1.882421522729132e-10,1.2,1.882421522729132e-10,1.2,1.882421522729132e-10,0.3436391796598287,1.882421522729132e-10,1.187643787524776,1.882421522729132e-10,1.2
2.499679003186445e-10,1.2,2.499679003186445e-10,1.2,2.499679003186445e-10,0.3436344288802459,2.499679003186445e-10,1.187638792779848,2.499679003186445e-10,1.2
3.73419396410107e-10,1.2,3.73419396410107e-10,1.2,3.73419396410107e-10,0.3436399475251203,3.73419396410107e-10,1.18764356131023,3.73419396410107e-10,1.2
6.20322388593032e-10,1.2,6.20322388593032e-10,1.2,6.20322388593032e-10,0.3436346622439927,6.20322388593032e-10,1.187638796221883,6.20322388593032e-10,1.2
1.114128372958882e-09,1.2,1.114128372958882e-09,1.2,1.114128372958882e-09,0.3436398420103673,1.114128372958882e-09,1.187643554826503,1.114128372958882e-09,1.2
2.101740341690583e-09,1.2,2.101740341690583e-09,1.2,2.101740341690583e-09,0.343634712519643,2.101740341690583e-09,1.187638800476599,2.101740341690583e-09,1.2
4.076964279153984e-09,1.2,4.076964279153984e-09,1.2,4.076964279153984e-09,0.3436398174586024,4.076964279153984e-09,1.187643552465479,4.076964279153984e-09,1.2
6.076964279153984e-09,1.2,6.076964279153984e-09,1.2,6.076964279153984e-09,0.3436347285611842,6.076964279153984e-09,1.187638802129355,6.076964279153984e-09,1.2
8.076964279153983e-09,1.2,8.076964279153983e-09,1.2,8.076964279153983e-09,0.3436398016630298,8.076964279153983e-09,1.187643550766053,8.076964279153983e-09,1.2
9.088482139576991e-09,1.2,9.088482139576991e-09,1.2,9.088482139576991e-09,0.3436347517589509,9.088482139576991e-09,1.18763880478136,9.088482139576991e-09,1.2
1.01e-08,1.2,1.01e-08,1.2,1.01e-08,0.3436397712628725,1.01e-08,1.187643547085437,1.01e-08,1.2
1.010625e-08,1.2,1.010625e-08,1.2,1.010625e-08,0.3124832067767191,1.010625e-08,1.182198264734747,1.010625e-08,1.124999999999994
