/q X,/q Y,q vs qb X,q vs qb Y,qb vs q X,qb vs q Y
0,0,0.8998709524786912,0,0,0.8998709524786912
0.001,0.001,0.8998689356812136,0.001,0.001,0.8998689356812136
0.002,0.002,0.8998668691530268,0.002,0.002,0.8998668691530268
0.003,0.003,0.8998647515946394,0.003,0.003,0.8998647515946394
0.004,0.004,0.899862581789279,0.004,0.004,0.899862581789279
0.005,0.005,0.8998603584921453,0.005,0.005,0.8998603584921453
0.006,0.006,0.8998580804298202,0.006,0.006,0.8998580804298202
0.007,0.007,0.8998557462996711,0.007,0.007,0.8998557462996711
0.008,0.008,0.8998533547692422,0.008,0.008,0.8998533547692422
0.009000000000000001,0.009000000000000001,0.8998509044756384,0.009000000000000001,0.009000000000000001,0.8998509044756384
0.01,0.01,0.8998483940248989,0.01,0.01,0.8998483940248989
0.011,0.011,0.8998458219913624,0.011,0.011,0.8998458219913624
0.012,0.012,0.8998431869170227,0.012,0.012,0.8998431869170227
0.013,0.013,0.8998404873108754,0.013,0.013,0.8998404873108754
0.01400000000000001,0.01400000000000001,0.8998377216482547,0.01400000000000001,0.01400000000000001,0.8998377216482547
0.01500000000000001,0.01500000000000001,0.8998348883701602,0.01500000000000001,0.01500000000000001,0.8998348883701602
0.01600000000000001,0.01600000000000001,0.8998319858825766,0.01600000000000001,0.01600000000000001,0.8998319858825766
0.01700000000000001,0.01700000000000001,0.8998290125557814,0.01700000000000001,0.01700000000000001,0.8998290125557814
0.01800000000000001,0.01800000000000001,0.8998259667236448,0.01800000000000001,0.01800000000000001,0.8998259667236448
0.01900000000000001,0.01900000000000001,0.8998228466829195,0.01900000000000001,0.01900000000000001,0.8998228466829195
0.02000000000000001,0.02000000000000001,0.8998196506925201,0.02000000000000001,0.02000000000000001,0.8998196506925201
0.02100000000000001,0.02100000000000001,0.8998163769727953,0.02100000000000001,0.02100000000000001,0.8998163769727953
0.02200000000000001,0.02200000000000001,0.899813023704788,0.02200000000000001,0.02200000000000001,0.899813023704788
0.02300000000000001,0.02300000000000001,0.8998095890294859,0.02300000000000001,0.02300000000000001,0.8998095890294859
0.02400000000000001,0.02400000000000001,0.8998060710470646,0.02400000000000001,0.02400000000000001,0.8998060710470646
0.02500000000000002,0.02500000000000002,0.8998024678161169,0.02500000000000002,0.02500000000000002,0.8998024678161169
0.02600000000000002,0.02600000000000002,0.8997987773528771,0.02600000000000002,0.02600000000000002,0.8997987773528771
0.02700000000000002,0.02700000000000002,0.8997949976304302,0.02700000000000002,0.02700000000000002,0.8997949976304302
0.02800000000000002,0.02800000000000002,0.8997911265779155,0.02800000000000002,0.02800000000000002,0.8997911265779155
0.02900000000000002,0.02900000000000002,0.8997871620797167,0.02900000000000002,0.02900000000000002,0.8997871620797167
0.03000000000000002,0.03000000000000002,0.899783101974644,0.03000000000000002,0.03000000000000002,0.899783101974644
0.03100000000000002,0.03100000000000002,0.8997789440551059,0.03100000000000002,0.03100000000000002,0.8997789440551059
0.03200000000000002,0.03200000000000002,0.8997746860662703,0.03200000000000002,0.03200000000000002,0.8997746860662703
0.03300000000000002,0.03300000000000002,0.8997703257052159,0.03300000000000002,0.03300000000000002,0.8997703257052159
0.03400000000000002,0.03400000000000002,0.899765860620074,0.03400000000000002,0.03400000000000002,0.899765860620074
0.03500000000000002,0.03500000000000002,0.8997612884091607,0.03500000000000002,0.03500000000000002,0.8997612884091607
0.03600000000000003,0.03600000000000003,0.8997566066201005,0.03600000000000003,0.03600000000000003,0.8997566066201005
0.03700000000000003,0.03700000000000003,0.8997518127489393,0.03700000000000003,0.03700000000000003,0.8997518127489393
0.03800000000000003,0.03800000000000003,0.8997469042392504,0.03800000000000003,0.03800000000000003,0.8997469042392504
0.03900000000000003,0.03900000000000003,0.899741878481231,0.03900000000000003,0.03900000000000003,0.899741878481231
0.04000000000000003,0.04000000000000003,0.8997367328107932,0.04000000000000003,0.04000000000000003,0.8997367328107932
0.04100000000000003,0.04100000000000003,0.8997314645086463,0.04100000000000003,0.04100000000000003,0.8997314645086463
0.04200000000000003,0.04200000000000003,0.8997260707993734,0.04200000000000003,0.04200000000000003,0.8997260707993734
0.04300000000000003,0.04300000000000003,0.8997205488505039,0.04300000000000003,0.04300000000000003,0.8997205488505039
0.04400000000000003,0.04400000000000003,0.8997148957715791,0.04400000000000003,0.04400000000000003,0.8997148957715791
0.04500000000000003,0.04500000000000003,0.899709108613218,0.04500000000000003,0.04500000000000003,0.899709108613218
0.04600000000000003,0.04600000000000003,0.8997031843661762,0.04600000000000003,0.04600000000000003,0.8997031843661762
0.04700000000000003,0.04700000000000003,0.8996971199604078,0.04700000000000003,0.04700000000000003,0.8996971199604078
0.04800000000000004,0.04800000000000004,0.8996909122641223,0.04800000000000004,0.04800000000000004,0.8996909122641223
0.04900000000000004,0.04900000000000004,0.899684558082847,0.04900000000000004,0.04900000000000004,0.899684558082847
0.05000000000000004,0.05000000000000004,0.8996780541584861,0.05000000000000004,0.05000000000000004,0.8996780541584861
0.05100000000000004,0.05100000000000004,0.899671397168387,0.05100000000000004,0.05100000000000004,0.899671397168387
0.05200000000000004,0.05200000000000004,0.8996645837244063,0.05200000000000004,0.05200000000000004,0.8996645837244063
0.05300000000000004,0.05300000000000004,0.8996576103719841,0.05300000000000004,0.05300000000000004,0.8996576103719841
0.05400000000000004,0.05400000000000004,0.8996504735892205,0.05400000000000004,0.05400000000000004,0.8996504735892205
0.05500000000000004,0.05500000000000004,0.8996431697859605,0.05500000000000004,0.05500000000000004,0.8996431697859605
0.05600000000000004,0.05600000000000004,0.8996356953028857,0.05600000000000004,0.05600000000000004,0.8996356953028857
0.05700000000000004,0.05700000000000004,0.8996280464106122,0.05700000000000004,0.05700000000000004,0.8996280464106122
0.05800000000000004,0.05800000000000004,0.8996202193087994,0.05800000000000004,0.05800000000000004,0.8996202193087994
0.05900000000000005,0.05900000000000005,0.8996122101252659,0.05900000000000005,0.05900000000000005,0.8996122101252659
0.06000000000000005,0.06000000000000005,0.8996040149151149,0.06000000000000005,0.06000000000000005,0.8996040149151149
0.06100000000000005,0.06100000000000005,0.8995956296598703,0.06100000000000005,0.06100000000000005,0.8995956296598703
0.06200000000000005,0.06200000000000005,0.8995870502666237,0.06200000000000005,0.06200000000000005,0.8995870502666237
0.06300000000000004,0.06300000000000004,0.899578272567189,0.06300000000000004,0.06300000000000004,0.899578272567189
0.06400000000000004,0.06400000000000004,0.8995692923172726,0.06400000000000004,0.06400000000000004,0.8995692923172726
0.06500000000000004,0.06500000000000004,0.899560105195651,0.06500000000000004,0.06500000000000004,0.899560105195651
