/q X,/q Y,q vs qb X,q vs qb Y,qb vs q X,qb vs q Y
0,0,0.8998737502847716,0,0,0.8998737502847716
0.001,0.001,0.8998717369752743,0.001,0.001,0.8998717369752743
0.002,0.002,0.8998696738396708,0.002,0.002,0.8998696738396708
0.003,0.003,0.8998675596887251,0.003,0.003,0.8998675596887251
0.004,0.004,0.8998653933057584,0.004,0.004,0.8998653933057584
0.005,0.005,0.8998631734460641,0.005,0.005,0.8998631734460641
0.006,0.006,0.8998608988363207,0.006,0.006,0.8998608988363207
0.007,0.007,0.8998585681739918,0.007,0.007,0.8998585681739918
0.008,0.008,0.8998561801267195,0.008,0.008,0.8998561801267195
0.009000000000000001,0.009000000000000001,0.8998537333317085,0.009000000000000001,0.009000000000000001,0.8998537333317085
0.01,0.01,0.899851226395098,0.01,0.01,0.899851226395098
0.011,0.011,0.899848657891329,0.011,0.011,0.899848657891329
0.012,0.012,0.8998460263624989,0.012,0.012,0.8998460263624989
0.013,0.013,0.8998433303177082,0.013,0.013,0.8998433303177082
0.01400000000000001,0.01400000000000001,0.899840568232397,0.01400000000000001,0.01400000000000001,0.899840568232397
0.01500000000000001,0.01500000000000001,0.8998377385476725,0.01500000000000001,0.01500000000000001,0.8998377385476725
0.01600000000000001,0.01600000000000001,0.8998348396696285,0.01600000000000001,0.01600000000000001,0.8998348396696285
0.01700000000000001,0.01700000000000001,0.8998318699686534,0.01700000000000001,0.01700000000000001,0.8998318699686534
0.01800000000000001,0.01800000000000001,0.8998288277787295,0.01800000000000001,0.01800000000000001,0.8998288277787295
0.01900000000000001,0.01900000000000001,0.899825711396723,0.01900000000000001,0.01900000000000001,0.899825711396723
0.02000000000000001,0.02000000000000001,0.8998225190816643,0.02000000000000001,0.02000000000000001,0.8998225190816643
0.02100000000000001,0.02100000000000001,0.8998192490540193,0.02100000000000001,0.02100000000000001,0.8998192490540193
0.02200000000000001,0.02200000000000001,0.8998158994949489,0.02200000000000001,0.02200000000000001,0.8998158994949489
0.02300000000000001,0.02300000000000001,0.899812468545562,0.02300000000000001,0.02300000000000001,0.899812468545562
0.02400000000000001,0.02400000000000001,0.8998089543061555,0.02400000000000001,0.02400000000000001,0.8998089543061555
0.02500000000000002,0.02500000000000002,0.8998053548354472,0.02500000000000002,0.02500000000000002,0.8998053548354472
0.02600000000000002,0.02600000000000002,0.8998016681497965,0.02600000000000002,0.02600000000000002,0.8998016681497965
0.02700000000000002,0.02700000000000002,0.8997978922224162,0.02700000000000002,0.02700000000000002,0.8997978922224162
0.02800000000000002,0.02800000000000002,0.8997940249825753,0.02800000000000002,0.02800000000000002,0.8997940249825753
0.02900000000000002,0.02900000000000002,0.8997900643147889,0.02900000000000002,0.02900000000000002,0.8997900643147889
0.03000000000000002,0.03000000000000002,0.8997860080580007,0.03000000000000002,0.03000000000000002,0.8997860080580007
0.03100000000000002,0.03100000000000002,0.8997818540047546,0.03100000000000002,0.03100000000000002,0.8997818540047546
0.03200000000000002,0.03200000000000002,0.8997775999003563,0.03200000000000002,0.03200000000000002,0.8997775999003563
0.03300000000000002,0.03300000000000002,0.8997732434420239,0.03300000000000002,0.03300000000000002,0.8997732434420239
0.03400000000000002,0.03400000000000002,0.8997687822780306,0.03400000000000002,0.03400000000000002,0.8997687822780306
0.03500000000000002,0.03500000000000002,0.8997642140068366,0.03500000000000002,0.03500000000000002,0.8997642140068366
0.03600000000000003,0.03600000000000003,0.8997595361762126,0.03600000000000003,0.03600000000000003,0.8997595361762126
0.03700000000000003,0.03700000000000003,0.8997547462823534,0.03700000000000003,0.03700000000000003,0.8997547462823534
0.03800000000000003,0.03800000000000003,0.8997498417689824,0.03800000000000003,0.03800000000000003,0.8997498417689824
0.03900000000000003,0.03900000000000003,0.8997448200264511,0.03900000000000003,0.03900000000000003,0.8997448200264511
0.04000000000000003,0.04000000000000003,0.8997396783908269,0.04000000000000003,0.04000000000000003,0.8997396783908269
0.04100000000000003,0.04100000000000003,0.8997344141429773,0.04100000000000003,0.04100000000000003,0.8997344141429773
0.04200000000000003,0.04200000000000003,0.8997290245076461,0.04200000000000003,0.04200000000000003,0.8997290245076461
0.04300000000000003,0.04300000000000003,0.899723506652526,0.04300000000000003,0.04300000000000003,0.899723506652526
0.04400000000000003,0.04400000000000003,0.8997178576873249,0.04400000000000003,0.04400000000000003,0.8997178576873249
0.04500000000000003,0.04500000000000003,0.8997120746628299,0.04500000000000003,0.04500000000000003,0.8997120746628299
0.04600000000000003,0.04600000000000003,0.8997061545699688,0.04600000000000003,0.04600000000000003,0.8997061545699688
0.04700000000000003,0.04700000000000003,0.8997000943388692,0.04700000000000003,0.04700000000000003,0.8997000943388692
0.04800000000000004,0.04800000000000004,0.8996938908379185,0.04800000000000004,0.04800000000000004,0.8996938908379185
0.04900000000000004,0.04900000000000004,0.899687540872824,0.04900000000000004,0.04900000000000004,0.899687540872824
0.05000000000000004,0.05000000000000004,0.8996810411856729,0.05000000000000004,0.05000000000000004,0.8996810411856729
0.05100000000000004,0.05100000000000004,0.8996743884539991,0.05100000000000004,0.05100000000000004,0.8996743884539991
0.05200000000000004,0.05200000000000004,0.8996675792898485,0.05200000000000004,0.05200000000000004,0.8996675792898485
0.05300000000000004,0.05300000000000004,0.8996606102388539,0.05300000000000004,0.05300000000000004,0.8996606102388539
0.05400000000000004,0.05400000000000004,0.8996534777793109,0.05400000000000004,0.05400000000000004,0.8996534777793109
0.05500000000000004,0.05500000000000004,0.8996461783212643,0.05500000000000004,0.05500000000000004,0.8996461783212643
0.05600000000000004,0.05600000000000004,0.8996387082055977,0.05600000000000004,0.05600000000000004,0.8996387082055977
0.05700000000000004,0.05700000000000004,0.8996310637031335,0.05700000000000004,0.05700000000000004,0.8996310637031335
0.05800000000000004,0.05800000000000004,0.8996232410137407,0.05800000000000004,0.05800000000000004,0.8996232410137407
0.05900000000000005,0.05900000000000005,0.8996152362654509,0.05900000000000005,0.05900000000000005,0.8996152362654509
0.06000000000000005,0.06000000000000005,0.8996070455135843,0.06000000000000005,0.06000000000000005,0.8996070455135843
0.06100000000000005,0.06100000000000005,0.8995986647398858,0.06100000000000005,0.06100000000000005,0.8995986647398858
0.06200000000000005,0.06200000000000005,0.8995900898516707,0.06200000000000005,0.06200000000000005,0.8995900898516707
0.06300000000000004,0.06300000000000004,0.8995813166809818,0.06300000000000004,0.06300000000000004,0.8995813166809818
0.06400000000000004,0.06400000000000004,0.8995723409837578,0.06400000000000004,0.06400000000000004,0.8995723409837578
0.06500000000000004,0.06500000000000004,0.8995631584390115,0.06500000000000004,0.06500000000000004,0.8995631584390115
0.06600000000000004,0.06600000000000004,0.8995537646480222,0.06600000000000004,0.06600000000000004,0.8995537646480222
0.06700000000000005,0.06700000000000005,0.8995441551335375,0.06700000000000005,0.06700000000000005,0.8995441551335375
0.06800000000000005,0.06800000000000005,0.8995343253389907,0.06800000000000005,0.06800000000000005,0.8995343253389907
0.06900000000000005,0.06900000000000005,0.8995242706277283,0.06900000000000005,0.06900000000000005,0.8995242706277283
0.07000000000000005,0.07000000000000005,0.8995139862822523,0.07000000000000005,0.07000000000000005,0.8995139862822523
0.07100000000000005,0.07100000000000005,0.8995034675034764,0.07100000000000005,0.07100000000000005,0.8995034675034764
0.07200000000000005,0.07200000000000005,0.8994927094099952,0.07200000000000005,0.07200000000000005,0.8994927094099952
0.07300000000000005,0.07300000000000005,0.8994817070373692,0.07300000000000005,0.07300000000000005,0.8994817070373692
0.07400000000000005,0.07400000000000005,0.8994704553374251,0.07400000000000005,0.07400000000000005,0.8994704553374251
0.07500000000000005,0.07500000000000005,0.899458949177571,0.07500000000000005,0.07500000000000005,0.899458949177571
0.07600000000000005,0.07600000000000005,0.8994471833401285,0.07600000000000005,0.07600000000000005,0.8994471833401285
0.07700000000000005,0.07700000000000005,0.899435152521682,0.07700000000000005,0.07700000000000005,0.899435152521682
0.07800000000000006,0.07800000000000006,0.899422851332444,0.07800000000000006,0.07800000000000006,0.899422851332444
0.07900000000000006,0.07900000000000006,0.8994102742956407,0.07900000000000006,0.07900000000000006,0.8994102742956407
0.08000000000000006,0.08000000000000006,0.8993974158469143,0.08000000000000006,0.08000000000000006,0.8993974158469143
0.08100000000000006,0.08100000000000006,0.8993842703337451,0.08100000000000006,0.08100000000000006,0.8993842703337451
0.08200000000000006,0.08200000000000006,0.8993708320148935,0.08200000000000006,0.08200000000000006,0.8993708320148935
0.08300000000000006,0.08300000000000006,0.8993570950598625,0.08300000000000006,0.08300000000000006,0.8993570950598625
0.08400000000000006,0.08400000000000006,0.8993430535483796,0.08400000000000006,0.08400000000000006,0.8993430535483796
0.08500000000000006,0.08500000000000006,0.8993287014699026,0.08500000000000006,0.08500000000000006,0.8993287014699026
0.08600000000000006,0.08600000000000006,0.899314032723143,0.08600000000000006,0.08600000000000006,0.899314032723143
0.08700000000000006,0.08700000000000006,0.8992990411156165,0.08700000000000006,0.08700000000000006,0.8992990411156165
0.08800000000000006,0.08800000000000006,0.8992837203632118,0.08800000000000006,0.08800000000000006,0.8992837203632118
0.08900000000000007,0.08900000000000007,0.8992680640897843,0.08900000000000007,0.08900000000000007,0.8992680640897843
0.09000000000000007,0.09000000000000007,0.8992520658267715,0.09000000000000007,0.09000000000000007,0.8992520658267715
0.09100000000000007,0.09100000000000007,0.8992357190128343,0.09100000000000007,0.09100000000000007,0.8992357190128343
0.09200000000000007,0.09200000000000007,0.8992190169935189,0.09200000000000007,0.09200000000000007,0.8992190169935189
0.09300000000000007,0.09300000000000007,0.8992019530209436,0.09300000000000007,0.09300000000000007,0.8992019530209436
