/blb X,/blb Y,/q X,/q Y,/qb X,/qb Y
0.7479999999999999,0.7479999999999999,0.7479999999999999,0.4605587250802486,0.7479999999999999,0.4668665862527939
0.7469999999999999,0.7469999999999999,0.7469999999999999,0.4605303765347797,0.7469999999999999,0.4668813355765404
0.7459999999999999,0.7459999999999999,0.7459999999999999,0.460501990864314,0.7459999999999999,0.466896106281161
0.7449999999999999,0.7449999999999999,0.7449999999999999,0.4604735670917786,0.7449999999999999,0.4669108988833313
0.7439999999999999,0.7439999999999999,0.7439999999999999,0.4604451042157065,0.7439999999999999,0.4669257139127215
0.7429999999999999,0.7429999999999999,0.7429999999999999,0.46041660120956,0.7429999999999999,0.466940551912358
0.7419999999999999,0.7419999999999999,0.7419999999999999,0.4603880570210355,0.7419999999999999,0.4669554134389956
0.7409999999999999,0.7409999999999999,0.7409999999999999,0.4603594705713453,0.7409999999999999,0.4669702990635024
0.7399999999999999,0.7399999999999999,0.7399999999999999,0.4603308407544787,0.7399999999999999,0.4669852093712553
0.7389999999999999,0.7389999999999999,0.7389999999999999,0.4603021664364393,0.7389999999999999,0.4670001449625489
0.7379999999999999,0.7379999999999999,0.7379999999999999,0.4602734464544593,0.7379999999999999,0.4670151064530154
0.7369999999999999,0.7369999999999999,0.7369999999999999,0.4602446796161905,0.7369999999999999,0.4670300944740585
0.7359999999999999,0.7359999999999999,0.7359999999999999,0.4602158646988694,0.7359999999999999,0.4670451096733029
0.7349999999999999,0.7349999999999999,0.7349999999999999,0.4601870004484577,0.7349999999999999,0.4670601527150503
0.7339999999999999,0.7339999999999999,0.7339999999999999,0.4601580855787524,0.7339999999999999,0.4670752242807616
0.7329999999999999,0.7329999999999999,0.7329999999999999,0.4601291187704746,0.7329999999999999,0.4670903250695421
0.7319999999999999,0.7319999999999999,0.7319999999999999,0.460100098670325,0.7319999999999999,0.467105455798649
0.7309999999999999,0.7309999999999999,0.7309999999999999,0.4600710238900103,0.7309999999999999,0.4671206172040143
0.7299999999999999,0.7299999999999999,0.7299999999999999,0.4600418930052431,0.7299999999999999,0.4671358100407801
0.7289999999999999,0.7289999999999999,0.7289999999999999,0.4600127045547043,0.7289999999999999,0.467151035083857
0.7279999999999999,0.7279999999999999,0.7279999999999999,0.4599834570389795,0.7279999999999999,0.4671662931284931
0.7269999999999999,0.7269999999999999,0.7269999999999999,0.4599541489194572,0.7269999999999999,0.4671815849908666
0.7259999999999999,0.7259999999999999,0.7259999999999999,0.4599247786171928,0.7259999999999999,0.4671969115086958
0.7249999999999999,0.7249999999999999,0.7249999999999999,0.459895344511741,0.7249999999999999,0.4672122735418655
0.7239999999999999,0.7239999999999999,0.7239999999999999,0.4598658449399455,0.7239999999999999,0.467227671973078
