/bl X,/bl Y,/blb X,/blb Y,/q X,/q Y,/qb X,/qb Y,/w X,/w Y
0,0.9,0,0.9,0,9.384738080137222e-09,0,0.8999999880277852,0,0
6.215333860702899e-12,0.9,6.215333860702899e-12,0.9,6.215333860702899e-12,0.003910657637903469,6.215333860702899e-12,0.9041748528247625,6.215333860702899e-12,0.05593800474632609
1.225456720262021e-11,0.9,1.225456720262021e-11,0.9,1.225456720262021e-11,0.005324217403192482,1.225456720262021e-11,0.9056665620755011,1.225456720262021e-11,0.1102911048235819
2.433303388645484e-11,0.9,2.433303388645484e-11,0.9,2.433303388645484e-11,0.008397667048520104,2.433303388645484e-11,0.9072872472389957,2.433303388645484e-11,0.2189973049780936
3.525589359318267e-11,0.9,3.525589359318267e-11,0.9,3.525589359318267e-11,0.0144542188109493,3.525589359318267e-11,0.9082755415452598,3.525589359318267e-11,0.317303042338644
5.220895401364417e-11,0.9,5.220895401364417e-11,0.9,5.220895401364417e-11,0.03443090158364157,5.220895401364417e-11,0.9108591744483314,5.220895401364417e-11,0.4698805861227975
7.297255391813627e-11,0.9,7.297255391813627e-11,0.9,7.297255391813627e-11,0.07271995865971462,7.297255391813627e-11,0.9136281099109024,7.297255391813627e-11,0.6567529852632263
8.648627695906814e-11,0.9,8.648627695906814e-11,0.9,8.648627695906814e-11,0.1041456260117647,8.648627695906814e-11,0.915147426113822,8.648627695906814e-11,0.7783764926316132
1e-10,0.9,1e-10,0.9,1e-10,0.139888213695723,1e-10,0.9164036408473222,1e-10,0.9
1.026631065015502e-10,0.9,1.026631065015502e-10,0.9,1.026631065015502e-10,0.1415552593991069,1.026631065015502e-10,0.9123612637627833,1.026631065015502e-10,0.9
1.075628518449736e-10,0.9,1.075628518449736e-10,0.9,1.075628518449736e-10,0.1442615315040402,1.075628518449736e-10,0.9064953485688865,1.075628518449736e-10,0.9
1.119337171909212e-10,0.9,1.119337171909212e-10,0.9,1.119337171909212e-10,0.1460837295159184,1.119337171909212e-10,0.9034076010008888,1.119337171909212e-10,0.9
1.206754478828163e-10,0.9,1.206754478828163e-10,0.9,1.206754478828163e-10,0.1481295891372924,1.206754478828163e-10,0.8999377951018873,1.206754478828163e-10,0.9
1.314707762004933e-10,0.9,1.314707762004933e-10,0.9,1.314707762004933e-10,0.1491210300840652,1.314707762004933e-10,0.8982448672563539,1.314707762004933e-10,0.9
1.480438734646699e-10,0.9,1.480438734646699e-10,0.9,1.480438734646699e-10,0.1495538104396803,1.480438734646699e-10,0.8975181619388144,1.480438734646699e-10,0.9
1.690620623379031e-10,0.9,1.690620623379031e-10,0.9,1.690620623379031e-10,0.1496275588730723,1.690620623379031e-10,0.8973946331493698,1.690620623379031e-10,0.9
2.013110221803824e-10,0.9,2.013110221803824e-10,0.9,2.013110221803824e-10,0.1496331786419832,2.013110221803824e-10,0.8973867878829334,2.013110221803824e-10,0.9
2.549174427592539e-10,0.9,2.549174427592539e-10,0.9,2.549174427592539e-10,0.1496350486874012,2.549174427592539e-10,0.8973833391092294,2.549174427592539e-10,0.9
3.621302839169971e-10,0.9,3.621302839169971e-10,0.9,3.621302839169971e-10,0.1496345284375188,3.621302839169971e-10,0.8973854276977605,3.621302839169971e-10,0.9
5.765559662324834e-10,0.9,5.765559662324834e-10,0.9,5.765559662324834e-10,0.1496346246961271,5.765559662324834e-10,0.8973836220664499,5.765559662324834e-10,0.9
1.005407330863456e-09,0.9,1.005407330863456e-09,0.9,1.005407330863456e-09,0.1496347056100288,1.005407330863456e-09,0.897385332801368,1.005407330863456e-09,0.9
1.863110060125402e-09,0.9,1.863110060125402e-09,0.9,1.863110060125402e-09,0.1496345430855154,1.863110060125402e-09,0.8973836606363447,1.863110060125402e-09,0.9
3.578515518649293e-09,0.9,3.578515518649293e-09,0.9,3.578515518649293e-09,0.1496347448426878,3.578515518649293e-09,0.8973853154650712,3.578515518649293e-09,0.9
5.578515518649293e-09,0.9,5.578515518649293e-09,0.9,5.578515518649293e-09,0.1496345193187138,5.578515518649293e-09,0.8973836707277933,5.578515518649293e-09,0.9
7.578515518649294e-09,0.9,7.578515518649294e-09,0.9,7.578515518649294e-09,0.1496347664820976,7.578515518649294e-09,0.8973853065178645,7.578515518649294e-09,0.9
8.839257759324647e-09,0.9,8.839257759324647e-09,0.9,8.839257759324647e-09,0.1496344917970242,8.839257759324647e-09,0.8973836817434254,8.839257759324647e-09,0.9
1.01e-08,0.9,1.01e-08,0.9,1.01e-08,0.1496347996898583,1.01e-08,0.897385293664608,1.01e-08,0.9
1.010625e-08,0.9,1.010625e-08,0.9,1.010625e-08,0.1348926307221456,1.010625e-08,0.8898976251882614,1.010625e-08,0.8437499999999958
1.011610347964566e-08,0.9,1.011610347964566e-08,0.9,1.011610347964566e-08,0.1110443173650985,1.011610347964566e-08,0.8828697356257853,1.011610347964566e-08,0.7550686831890825
1.013581043893697e-08,0.9,1.013581043893697e-08,0.9,1.013581043893697e-08,0.06452542873417687,1.013581043893697e-08,0.8825842388938888,1.013581043893697e-08,0.5777060495672557
1.015537296314472e-08,0.9,1.015537296314472e-08,0.9,1.015537296314472e-08,0.02713492846660825,1.015537296314472e-08,0.8861805673221005,1.015537296314472e-08,0.4016433316974849
1.017327589520929e-08,0.9,1.017327589520929e-08,0.9,1.017327589520929e-08,0.005253929081191243,1.017327589520929e-08,0.8891818465111851,1.017327589520929e-08,0.2405169431163795
1.018663794760464e-08,0.9,1.018663794760464e-08,0.9,1.018663794760464e-08,-0.002484461105933712,1.018663794760464e-08,0.8912430196763984,1.018663794760464e-08,0.1202584715582006
1.02e-08,0.9,1.02e-08,0.9,1.02e-08,-0.004709059169482365,1.02e-08,0.8926942100711888,1.02e-08,0
1.020244251131313e-08,0.9,1.020244251131313e-08,0.9,1.020244251131313e-08,-0.002185036016995039,1.020244251131313e-08,0.8955661894455471,1.020244251131313e-08,0
1.020727561150006e-08,0.9,1.020727561150006e-08,0.9,1.020727561150006e-08,0.0004243555424008271,1.020727561150006e-08,0.8988692198421696,1.020727561150006e-08,0
1.021158237107386e-08,0.9,1.021158237107386e-08,0.9,1.021158237107386e-08,0.0003900238485085398,1.021158237107386e-08,0.8993546312487466,1.021158237107386e-08,0
1.022019589022148e-08,0.9,1.022019589022148e-08,0.9,1.022019589022148e-08,0.0001956326395690493,1.022019589022148e-08,0.8997054267066407,1.022019589022148e-08,0
1.022872766361568e-08,0.9,1.022872766361568e-08,0.9,1.022872766361568e-08,0.0001175597921730904,1.022872766361568e-08,0.8998128755262009,1.022872766361568e-08,0
1.02457912104041e-08,0.9,1.02457912104041e-08,0.9,1.02457912104041e-08,7.718776379194277e-05,1.02457912104041e-08,0.8998693291837228,1.02457912104041e-08,0
1.027991830398094e-08,0.9,1.027991830398094e-08,0.9,1.027991830398094e-08,7.876242815382421e-05,1.027991830398094e-08,0.8998719872787658,1.027991830398094e-08,0
1.034817249113461e-08,0.9,1.034817249113461e-08,0.9,1.034817249113461e-08,7.655965497812211e-05,1.034817249113461e-08,0.8998697384900364,1.034817249113461e-08,0
1.048342246109758e-08,0.9,1.048342246109758e-08,0.9,1.048342246109758e-08,7.893757368832424e-05,1.048342246109758e-08,0.8998719348860832,1.048342246109758e-08,0
1.075392240102352e-08,0.9,1.075392240102352e-08,0.9,1.075392240102352e-08,7.64897362220367e-05,1.075392240102352e-08,0.8998697491176674,1.075392240102352e-08,0
1.12949222808754e-08,0.9,1.12949222808754e-08,0.9,1.12949222808754e-08,7.896900592550803e-05,1.12949222808754e-08,0.8998719322248652,1.12949222808754e-08,0
1.237692204057916e-08,0.9,1.237692204057916e-08,0.9,1.237692204057916e-08,7.647480208337168e-05,1.237692204057916e-08,0.8998697499036745,1.237692204057916e-08,0
1.437692204057916e-08,0.9,1.437692204057916e-08,0.9,1.437692204057916e-08,7.897648445894953e-05,1.437692204057916e-08,0.8998719319499451,1.437692204057916e-08,0
1.637692204057916e-08,0.9,1.637692204057916e-08,0.9,1.637692204057916e-08,7.646963056455268e-05,1.637692204057916e-08,0.899869750044782,1.637692204057916e-08,0
1.837692204057916e-08,0.9,1.837692204057916e-08,0.9,1.837692204057916e-08,7.8981601228697e-05,1.837692204057916e-08,0.8998719318441033,1.837692204057916e-08,0
2e-08,0.9,2e-08,0.9,2e-08,7.646398687119856e-05,2e-08,0.8998697501201142,2e-08,0
2.002455318646244e-08,0.9,2.002455318646244e-08,0.9,2.002455318646244e-08,0.008489761029991104,2.002455318646244e-08,0.9060143098731769,2.002455318646244e-08,0.2209786781619593
2.004908567023347e-08,0.9,2.004908567023347e-08,0.9,2.004908567023347e-08,0.03000091232797563,2.004908567023347e-08,0.9105951315677897,2.004908567023347e-08,0.4417710321012067
2.007454283511673e-08,0.9,2.007454283511673e-08,0.9,2.007454283511673e-08,0.07599742100310589,2.007454283511673e-08,0.9137591116578135,2.007454283511673e-08,0.6708855160506074
