nfin_pu,nfin_pd,nfin_acc,vdd,temp,hsnm_mv,rsnm_mv,wsnm_mv,read_type_x,read0_q_node_disturb_mv,read0_qb_node_disturb_mv,read0_high_node_drop_mv,read0_wl_to_q_node_disturb_peak_ps,read0_wl_to_qb_node_disturb_peak_ps,read0_average_read_current_ua,read0_peak_read_current_ua,read0_read_power_uw,read0_read_energy_fj,read0_read_success,read_type_y,read1_q_node_disturb_mv,read1_qb_node_disturb_mv,read1_high_node_drop_mv,read1_wl_to_q_node_disturb_peak_ps,read1_wl_to_qb_node_disturb_peak_ps,read1_average_read_current_ua,read1_peak_read_current_ua,read1_read_power_uw,read1_read_energy_fj,read1_read_success,write0_cell_write_delay_ps,write0_q_node_voltage_excursion_mv,write0_qb_node_voltage_excursion_mv,write0_average_write_current_ua,write0_peak_write_current_ua,write0_write_power_uw,write0_write_energy_fj,write0_write_success,write_type_x,write1_cell_write_delay_ps,write1_q_node_voltage_excursion_mv,write1_qb_node_voltage_excursion_mv,write1_average_write_current_ua,write1_peak_write_current_ua,write1_write_power_uw,write1_write_energy_fj,write1_write_success,write_type_y,worst_write_delay_ps,worst_write_power_uw,worst_write_energy_fj,hold_type_x,hold0_hold_high_node_drop_mv,hold0_hold_low_node_disturb_mv,hold0_hold_leakage_current_na,hold0_hold_power_uw,hold0_hold_energy_fj,hold0_hold_success,hold_type_y,hold1_hold_high_node_drop_mv,hold1_hold_low_node_disturb_mv,hold1_hold_leakage_current_na,hold1_hold_power_uw,hold1_hold_energy_fj,hold1_hold_success
1,1,2,0.8,27,250.82,68.39,408.13,read_0,208.218,9.06456,9.06456,413.118,3886.43,0.0306266,3.0805,0.0245013,0.245013,1.0,read_1,9.06457,208.218,9.06457,3886.43,413.118,0.0306266,3.0805,0.0245013,0.245013,1.0,133.895,799.877,799.877,0.0567416999999999,12.6058,0.0453933,0.453933,1.0,write_0,61.8354,799.89,799.995,0.0601776,15.1641,0.0481421,0.481421,1.0,write_1,133.895,0.0481421,0.481421,hold_0,9.80489,0.206445,16.7497,0.0133997,0.133997,1.0,hold_1,9.71016,0.247033,16.7481,0.0133985,0.133985,1.0
1,1,2,0.9,27,281.83,71.47,473.08,read_0,241.788,13.2156,13.2156,198.684,274.797,0.0347292,3.46915,0.0312563,0.312563,1.0,read_1,13.2156,241.788,13.2156,274.797,198.684,0.0347292,3.46915,0.0312563,0.312563,1.0,130.852,899.8589999999999,899.867,0.0684677,15.3108,0.0616209,0.616209,1.0,write_0,57.942,899.8760000000001,899.993,0.071463,20.3757,0.0643166999999999,0.643167,1.0,write_1,130.852,0.0643166999999999,0.643167,hold_0,9.64616,0.262708,20.4888,0.0184399,0.184399,1.0,hold_1,9.73713,0.763148,20.6619,0.0185957,0.185957,1.0
1,1,2,1.0,27,312.17,73.49,543.06,read_0,276.509,18.4684,18.4684,192.468,192.468,0.0388938,3.85595,0.0388938,0.388938,1.0,read_1,18.4684,276.509,18.4684,192.468,192.468,0.0388938,3.85595,0.0388938,0.388938,1.0,128.233,999.837,999.846,0.0814213999999999,18.196,0.0814213999999999,0.814214,1.0,write_0,55.1422,999.859,999.992,0.0843213999999999,25.4332,0.0843213999999999,0.8432139999999999,1.0,write_1,128.233,0.0843213999999999,0.8432139999999999,hold_0,9.86088,0.872876,24.8557,0.0248557,0.248557,1.0,hold_1,9.80298,0.363195,24.8301,0.0248301,0.248301,1.0
1,1,2,1.1,27,341.89,74.4,618.07,read_0,312.391,24.8847,24.8847,190.909,190.909,0.04313,4.24846,0.0474429,0.474429,1.0,read_1,24.8847,312.391,24.8847,190.909,190.909,0.04313,4.24846,0.0474429,0.474429,1.0,125.896,1099.81,1099.81,0.0955758,21.3718,0.1051329999999999,1.05133,1.0,write_0,52.9082,1099.83,1099.99,0.0982878999999999,29.953000000000003,0.108117,1.08117,1.0,write_1,125.896,0.108117,1.08117,hold_0,10.0776,0.819632,29.9469,0.0329416,0.329416,1.0,hold_1,10.0524,0.537572,29.708,0.0326788,0.326788,1.0
1,1,2,1.2,27,371.12,74.36,698.09,read_0,349.467,32.5452,32.5452,188.413,188.413,0.0474343,4.64072,0.0569212,0.569212,1.0,read_1,32.5452,349.467,32.5452,188.413,188.413,0.0474343,4.64072,0.0569212,0.569212,1.0,123.74,1199.77,1199.78,0.110901,24.5605,0.133081,1.33081,1.0,write_0,51.0674,1199.81,1199.98,0.113403,35.3503,0.1360829999999999,1.36083,1.0,write_1,123.74,0.1360829999999999,1.36083,hold_0,10.4546,0.659672,35.8147,0.0429777,0.429777,1.0,hold_1,10.4549,0.657171,36.333,0.0435995,0.435995,1.0
1,1,2,1.3,27,399.9,73.35,778.04,read_0,387.783,41.5528,41.5528,182.21,182.21,0.0519319,5.02966,0.0675115,0.675115,1.0,read_1,41.5529,387.783,41.5529,182.21,182.21,0.0519319,5.02966,0.0675115,0.675115,1.0,121.761,1299.73,1299.73,0.127425,28.0873,0.165652,1.65652,1.0,write_0,49.5417,1299.77,1299.98,0.129802,41.0734,0.168743,1.68743,1.0,write_1,121.761,0.168743,1.68743,hold_0,10.9314,0.90151,42.7501,0.0555752,0.555752,1.0,hold_1,10.9888,0.816597,42.0736,0.0546957,0.546957,1.0
1,1,3,0.6,27,186.53,33.51,342.78,read_0,180.218,9.40087,9.40087,716.398,716.398,0.0279004,2.90599,0.0167402,0.167402,1.0,read_1,9.40087,180.218,9.40087,716.398,716.398,0.0279004,2.90599,0.0167402,0.167402,1.0,135.112,599.894,599.898,0.0315875,6.51499,0.0189525,0.189525,1.0,write_0,67.4593,599.906,599.997,0.0358726,7.75471,0.0215236,0.215236,1.0,write_1,135.112,0.0215236,0.215236,hold_0,14.3657,0.320565,12.2826,0.00736955,0.0736955,1.0,hold_1,14.2861,0.331429,12.0405,0.00722432,0.0722432,1.0
1,1,3,0.7,27,219.02,33.42,,read_0,221.122,15.4401,15.4401,1919.22,719.217,0.0327558,3.40259,0.0229291,0.229291,1.0,read_1,15.4401,221.122,15.4401,719.217,1919.22,0.0327558,3.40259,0.0229291,0.229291,1.0,130.28799999999998,699.888,699.8910000000001,0.0393656,8.77378,0.027556,0.2755599999999999,1.0,write_0,59.9953,699.8989999999999,699.995,0.0444971,12.1401,0.031148,0.31148,1.0,write_1,130.28799999999998,0.031148,0.31148,hold_0,12.9588,0.313928,15.3073,0.0107151,0.107151,1.0,hold_1,13.0325,0.300706,15.3546,0.0107482,0.107482,1.0
1,1,3,0.8,27,250.76,31.37,800.0,read_0,264.859,24.3266,24.3266,466.372,466.372,0.0376832,3.89491,0.0301466,0.301466,1.0,read_1,24.3266,264.859,24.3266,466.372,466.372,0.0376832,3.89491,0.0301466,0.301466,1.0,126.498,799.8739999999999,799.878,0.0481875,10.797,0.03855,0.3855,1.0,write_0,55.2404,799.8910000000001,799.993,0.0544497,15.826,0.0435597,0.435597,1.0,write_1,126.498,0.0435597,0.435597,hold_0,12.3725,0.513086,18.9304,0.0151443,0.151443,1.0,hold_1,12.408,0.465332,18.7134,0.0149707,0.149707,1.0
1,1,3,0.9,27,281.77,27.73,900.0,read_0,311.449,36.5482,36.5482,647.657,3447.66,0.0425432,4.38668,0.0382889,0.382889,1.0,read_1,36.5482,311.449,36.5482,3447.66,647.657,0.0425432,4.38668,0.0382889,0.382889,1.0,123.369,899.857,899.8639999999999,0.0580947999999999,13.0008,0.0522854,0.522854,1.0,write_0,51.9455,899.875,899.9910000000001,0.0662014,20.2043,0.0595813,0.595813,1.0,write_1,123.369,0.0595813,0.595813,hold_0,12.2925,0.750381,22.9579,0.0206622,0.206622,1.0,hold_1,12.2713,0.762985,23.1569,0.0208412,0.208412,1.0
